Era,Region,miniIso_cut,sip3d_cut,optimization_metric,avg_significance,n_bins_used,recommendation
2023BPix,InnerBarrel,0.4,4.0,1.826,0.365,5,BEST
2023BPix,InnerBarrel,0.4,5.0,1.732,0.289,6,BEST
2023BPix,InnerBarrel,0.4,6.0,1.624,0.271,6,BEST
2023BPix,InnerBarrel,0.4,7.0,1.549,0.258,6,BEST
2023BPix,InnerBarrel,0.4,8.0,2.135,0.305,7,
2023BPix,InnerBarrel,0.4,9.0,2.087,0.298,7,
2023BPix,InnerBarrel,0.4,10.0,1.998,0.285,7,
2023BPix,InnerBarrel,0.5,4.0,3.264,0.466,7,
2023BPix,InnerBarrel,0.5,5.0,2.932,0.419,7,
2023BPix,InnerBarrel,0.5,6.0,2.617,0.374,7,
2023BPix,InnerBarrel,0.5,7.0,2.338,0.334,7,
2023BPix,InnerBarrel,0.5,8.0,2.336,0.334,7,
2023BPix,InnerBarrel,0.5,9.0,2.236,0.319,7,
2023BPix,InnerBarrel,0.5,10.0,2.063,0.295,7,
2023BPix,InnerBarrel,0.55,4.0,3.543,0.506,7,
2023BPix,InnerBarrel,0.55,5.0,3.212,0.459,7,
2023BPix,InnerBarrel,0.55,6.0,2.884,0.412,7,
2023BPix,InnerBarrel,0.55,7.0,2.601,0.372,7,
2023BPix,InnerBarrel,0.55,8.0,3.297,0.412,8,
2023BPix,InnerBarrel,0.55,9.0,3.176,0.353,9,
2023BPix,InnerBarrel,0.55,10.0,2.927,0.325,9,
2023BPix,InnerBarrel,0.6,4.0,3.795,0.542,7,
2023BPix,InnerBarrel,0.6,5.0,3.472,0.496,7,
2023BPix,InnerBarrel,0.6,6.0,3.129,0.447,7,
2023BPix,InnerBarrel,0.6,7.0,3.618,0.402,9,
2023BPix,InnerBarrel,0.6,8.0,3.554,0.395,9,
2023BPix,InnerBarrel,0.6,9.0,3.375,0.375,9,
2023BPix,InnerBarrel,0.6,10.0,3.140,0.349,9,
2023BPix,InnerBarrel,0.65,4.0,3.983,0.569,7,
2023BPix,InnerBarrel,0.65,5.0,3.824,0.478,8,
2023BPix,InnerBarrel,0.65,6.0,4.126,0.458,9,
2023BPix,InnerBarrel,0.65,7.0,3.814,0.424,9,
2023BPix,InnerBarrel,0.65,8.0,3.730,0.414,9,
2023BPix,InnerBarrel,0.65,9.0,3.560,0.396,9,
2023BPix,InnerBarrel,0.65,10.0,3.320,0.369,9,
2023BPix,InnerBarrel,0.7,4.0,4.183,0.598,7,
2023BPix,InnerBarrel,0.7,5.0,4.733,0.526,9,
2023BPix,InnerBarrel,0.7,6.0,4.308,0.479,9,
2023BPix,InnerBarrel,0.7,7.0,3.988,0.443,9,
2023BPix,InnerBarrel,0.7,8.0,3.882,0.431,9,
2023BPix,InnerBarrel,0.7,9.0,3.698,0.411,9,
2023BPix,InnerBarrel,0.7,10.0,3.454,0.384,9,
2023BPix,InnerBarrel,0.75,4.0,4.454,0.557,8,
2023BPix,InnerBarrel,0.75,5.0,4.819,0.535,9,
2023BPix,InnerBarrel,0.75,6.0,4.395,0.488,9,
2023BPix,InnerBarrel,0.75,7.0,4.100,0.456,9,
2023BPix,InnerBarrel,0.75,8.0,4.006,0.445,9,
2023BPix,InnerBarrel,0.75,9.0,3.833,0.426,9,
2023BPix,InnerBarrel,0.75,10.0,3.738,0.374,10,
2023BPix,InnerBarrel,0.8,4.0,5.269,0.585,9,
2023BPix,InnerBarrel,0.8,5.0,4.918,0.546,9,
2023BPix,InnerBarrel,0.8,6.0,4.478,0.498,9,
2023BPix,InnerBarrel,0.8,7.0,4.203,0.467,9,
2023BPix,InnerBarrel,0.8,8.0,4.100,0.456,9,
2023BPix,InnerBarrel,0.8,9.0,4.376,0.398,11,
