model,chromosome,fitness
model0,"(128, 'Adadelta', 0.0024, 0.00031, 'ReduceLROnPlateau')",1.3994416576773239
model1,"(128, 'Adam', 0.0002, 7e-05, 'ReduceLROnPlateau')",0.9400971884522621
model2,"(64, 'RMSprop', 0.0003, 0.0006, 'ExponentialLR')",1.0326395037869016
model3,"(128, 'Adadelta', 0.0004, 0.0002, 'ReduceLROnPlateau')",1.4064413490765804
model4,"(128, 'RMSprop', 0.0008, 2e-05, 'ReduceLROnPlateau')",1.025003606598655
model5,"(128, 'Adadelta', 0.0021, 0.00036, 'ReduceLROnPlateau')",1.1801008010926415
model6,"(64, 'Adam', 0.0005, 0.00036, 'CyclicLR')",1.002416350732995
model7,"(96, 'Adadelta', 0.0001, 0.00064, 'CyclicLR')",1.3943171933238259
model8,"(96, 'RMSprop', 0.0026, 9e-05, 'ExponentialLR')",1.0616250106207286
model9,"(64, 'Adam', 0.0015, 8e-05, 'CyclicLR')",0.9973714614446836
model10,"(96, 'Adadelta', 0.0004, 0.00025, 'ExponentialLR')",1.4054787984545685
model11,"(64, 'Adadelta', 0.0094, 0.00069, 'ReduceLROnPlateau')",1.0789803817055963
model12,"(96, 'RMSprop', 0.0001, 2e-05, 'ReduceLROnPlateau')",0.9606225990470403
model13,"(128, 'RMSprop', 0.0026, 0.00016, 'CyclicLR')",1.0501930841814293
model14,"(128, 'Adam', 0.0005, 2e-05, 'CyclicLR')",0.9339393042251901
model15,"(64, 'Adadelta', 0.0015, 2e-05, 'ReduceLROnPlateau')",1.3414257996942762
