model,chromosome,fitness
model0,"(256, 'Adam', 0.0004, 3e-05, 'ReduceLROnPlateau')",0.6674737564438139
model1,"(256, 'Adam', 0.0004, 3e-05, 'ReduceLROnPlateau')",0.6747392034896499
model2,"(128, 'Adam', 0.0002, 4e-05, 'CyclicLR')",0.7087478832820492
model3,"(256, 'RMSprop', 0.0002, 0.00014, 'CyclicLR')",0.7299281752018063
model4,"(128, 'Adam', 0.0002, 5e-05, 'ExponentialLR')",0.7267452932684623
model5,"(256, 'RMSprop', 0.001, 1e-05, 'ExponentialLR')",0.7772457971597266
model6,"(128, 'RMSprop', 0.0002, 5e-05, 'ExponentialLR')",0.7337509116248402
model7,"(256, 'Adam', 0.0004, 2e-05, 'ExponentialLR')",0.6745457173613332
model8,"(128, 'RMSprop', 0.0002, 3e-05, 'ExponentialLR')",0.7045843802449648
model9,"(256, 'Adam', 0.0004, 5e-05, 'ReduceLROnPlateau')",0.6861135185222187
model10,"(256, 'RMSprop', 0.0002, 2e-05, 'ExponentialLR')",0.7015541642523178
model11,"(96, 'Adam', 0.0002, 4e-05, 'ExponentialLR')",0.7440599992756953
model12,"(128, 'Adam', 0.0027, 3e-05, 'ReduceLROnPlateau')",0.7064735041859814
model13,"(96, 'Adam', 0.0002, 4e-05, 'CyclicLR')",0.7176667430516704
model14,"(256, 'RMSprop', 0.001, 1e-05, 'CyclicLR')",0.7408200627397699
model15,"(96, 'RMSprop', 0.0046, 0.00011, 'ReduceLROnPlateau')",0.7636334743646099
