model,chromosome,fitness
model0,"(256, 'Adam', 0.0008, 0.00047, 'ExponentialLR')",0.6172970006961633
model1,"(128, 'Adam', 0.0002, 7e-05, 'ExponentialLR')",0.6096366051400062
model2,"(128, 'Adam', 0.001, 5e-05, 'ReduceLROnPlateau')",0.6148143806079827
model3,"(256, 'Adam', 0.0009, 0.00016, 'CyclicLR')",0.6222155882580446
model4,"(192, 'Adam', 0.0026, 6e-05, 'CyclicLR')",0.6419654770652846
model5,"(128, 'Adam', 0.0002, 2e-05, 'ReduceLROnPlateau')",0.5945162631497525
model6,"(256, 'Adam', 0.0026, 0.00047, 'ExponentialLR')",0.6870977722772277
model7,"(256, 'RMSprop', 0.0004, 3e-05, 'CyclicLR')",0.6350473536123143
model8,"(192, 'Adam', 0.001, 5e-05, 'ReduceLROnPlateau')",0.6175283299814357
model9,"(96, 'Adam', 0.0026, 6e-05, 'CyclicLR')",0.657391115698484
model10,"(192, 'Adam', 0.0008, 0.00047, 'CyclicLR')",0.6418794839689047
model11,"(96, 'Adam', 0.0002, 4e-05, 'ExponentialLR')",0.6344808144144493
model12,"(256, 'Adam', 0.0078, 0.00035, 'ExponentialLR')",0.7070061107673268
model13,"(192, 'Adadelta', 0.001, 0.00016, 'ExponentialLR')",0.9932987024288367
model14,"(96, 'Adam', 0.0004, 2e-05, 'ReduceLROnPlateau')",0.613444171565594
model15,"(192, 'Adam', 0.0036, 0.00066, 'ReduceLROnPlateau')",0.6977342057936262
