ma,model,background,auc
85,baseline,nonprompt,0.8943791903685492
85,parametric,nonprompt,0.8957183861685671
85,baseline,diboson,0.9517975971674593
85,parametric,diboson,0.9500708503322709
85,baseline,ttX,0.913101215446294
85,parametric,ttX,0.9149812428031772
90,baseline,nonprompt,0.8942701721521025
90,parametric,nonprompt,0.8971230161742685
90,baseline,diboson,0.9534886403413437
90,parametric,diboson,0.9514356303890396
90,baseline,ttX,0.9186638509069123
90,parametric,ttX,0.9197051730444297
95,baseline,nonprompt,0.9015854146085671
95,parametric,nonprompt,0.8982805132110229
95,baseline,diboson,0.9534089051091935
95,parametric,diboson,0.9510536380425487
95,baseline,ttX,0.9263997312680227
95,parametric,ttX,0.9234963278121364
